id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
77951,Walking with Dinosaurs,6.09,435,Released,2013-12-18,126546518,87,False,/AdqdU9nexxg8obiEWQoIQQqsr4Q.jpg,80000000,http://www.walkingwithdinosaurs.com/movie/,tt1762399,en,Walking with Dinosaurs,"Walking with Dinosaurs 3D is a film depicting life-like 3D dinosaur characters set in photo-real landscapes that transports audiences to the prehistoric world as it existed 70 million years ago. The film is based on the 1999 documentary television miniseries Walking with Dinosaurs, produced by the BBC. Walking with Dinosaurs 3D is being produced by Evergreen Studios, the company that produced Happy Feet, and it is was released on October 11, 2013.",20.356,/kjFQHmx9EXJPqcyY1NlartUXkTE.jpg,The Greatest Adventure in 70 Million Years,"Animation, Family, Adventure","Reliance Big Entertainment, Animal Logic, BBC Earth, BBC Worldwide, Evergreen Films, Evergreen MD, 20th Century Fox","Australia, India, United Kingdom, United States of America",English,"hero, walking, brother, prehistory, dinosaur, orphan, mesozoic"
7342,Carrie,6.102,435,Released,2002-11-04,0,132,False,/8z5qtVE2N3AuA3bmvIQsI10Wjg8.jpg,0,https://www.mgm.com/title_title.do?title_star=CARRIETV,tt0319970,en,Carrie,"Carrie White is a lonely and painfully shy teenage girl with telekinetic powers who is slowly pushed to the edge of insanity by frequent bullying from both classmates at her school, and her own religious, but abusive, mother.",25.067,/knjeEeeyIwDkUtZwDfJOcUIuNdB.jpg,If only they knew she had the power.,"Drama, Horror, TV Movie","MGM Television, Trilogy Entertainment Group","Canada, United States of America",English,"puberty, high school, based on novel or book, becoming an adult, surrealism, bullying, hysteria, telekinesis, coming of age, remake, arson, prom, religion, cruelty, rage, crucifix, bible quote, extrasensory perception, arrogance, zealot, bigot, abusive mother, repression, tv pilot, menarche, bimbo, tv movie"
458344,"Juliet, Naked",6.328,435,Released,2018-08-16,0,97,False,/c99zJNWcP6wXsRJdAouE3Yj5EvZ.jpg,0,https://www.julietnakedfilm.com,tt5607096,en,"Juliet, Naked","Annie is stuck in a long-term relationship with Duncan – an obsessive fan of obscure rocker Tucker Crowe. When the acoustic demo of Tucker's hit record from 25 years ago surfaces, its discovery leads to a life-changing encounter with the elusive rocker himself.",15.518,/tj4lbeWQBvPwGjadEAAjJdQolko.jpg,,"Comedy, Drama, Romance","Bona Fide, Apatow Productions, Los Angeles Media Fund","United Kingdom, United States of America",English,"london, england, england, museum, e-mail, relationship problems, website, obsessed fan, english countryside, folk singer, high school teacher, singer-songwriter, boyfriend girlfriend relationship, correspondence, lecturer, long term relationship, rockstar, dysfunctional relationship, seaside village, sister sister relationship, children"
5693,Hoosiers,7.063,435,Released,1986-11-14,28607524,114,False,/tf7EYR2vTNWGYFWAYIagGFDriVK.jpg,9000000,,tt0091217,en,Hoosiers,"Failed college coach Norman Dale gets a chance at redemption when he is hired to coach a high school basketball team in a tiny Indiana town. After a teacher persuades star player Jimmy Chitwood to quit and focus on his long-neglected studies, Dale struggles to develop a winning team in the face of community criticism for his temper and his unconventional choice of assistant coach: Shooter, a notorious alcoholic.",13.659,/dHpjZQXEdoi1xNLubM1rPmTHJYz.jpg,They needed a second chance to finish first.,"Drama, Family","Orion Pictures, De Haven Productions",United States of America,English,"high school, indiana, usa, sports, parent child relationship, son, basketball, coach, high school sports, hoosier, 1950s, basketball coach, head coach, coaching, coach teacher, high school coach"
528491,WHAT DID JACK DO?,6.411,435,Released,2017-11-08,0,20,False,/yUH9Awm5vYDufckJP42zxHWxTQw.jpg,0,https://www.netflix.com/title/81226955,tt11644096,en,WHAT DID JACK DO?,"In a locked down train station, a homicide detective conducts an interview with a tormented monkey  who is suspected of murder.",7.064,/68FofMgclH1qCNXoL6foBqPfNFD.jpg,,"Comedy, Crime, Mystery",Absurda,United States of America,English,"detective, chicken, surreal, black and white, monkey, interrogation, short film"
9692,The Woodsman,6.918,435,Released,2004-12-24,4678405,87,False,/i7lkM2VwuTMcxA23A6TtLIkeyM6.jpg,0,,tt0361127,en,The Woodsman,A paedophile returns to his hometown after 12 years in prison and attempts to start a new life.,8.949,/4fDgLcc35A0IpxhMyJMP33bSDXj.jpg,Nothing can undo the past.,Drama,"Lee Daniels Entertainment, Dash Films",United States of America,English,"pedophilia, work, ex-detainee, girlfriend, police officer, threat, parole officer, woman director, emotions"
72478,Suicide Room,7.37,434,Released,2011-03-04,0,117,False,/7XvlHiBj0l4FiieSSkAZ8OVbVnB.jpg,0,http://www.salasamobojcow.com.pl,tt1808454,pl,Sala samobójców,"Dominik is an ordinary boy. He's got loads of friends, the hottest girl in school, rich parents and money to spend on brand-name clothes. But one innocent kiss with a mate changes everything. He begins to isolate himself from the outside world, spending all his time on his computer. He meets an anonymous girl who introduces him to the ""suicide room"", a place from which there is no escape. Caught in a trap woven of his own emotions, Dominik becomes entangled in a web of intrigue and gradually loses what he cherishes most.",11.005,/24a6wmwFr8AicQaBdK9LSEPahgb.jpg,Where fantasy and reality meet.,"Drama, Thriller, Animation","Mediabrigade, Studio Filmowe Kadr, PISF, Odra Film",Poland,Polish,"high school, suicide, virtual reality, isolation, internet, teenage boy, computer game, humiliation, mental illness, lgbt, mental health, dare, chat room, virtual world, high school drop out, gay theme"
10861,Maximum Risk,5.718,434,Released,1996-09-13,51702483,100,False,/aRERqrrwqFbwlZmm6AKyQPRYlcm.jpg,25000000,,tt0117011,en,Maximum Risk,"Alain Moreau's investigation into the death of his identical twin brother leads him from the beauty of the south of France to the mean streets of New York City and into the arms of his brother's beautiful girlfriend. Pursued by ruthless Russian mobsters and renegade FBI agents, the duo race against time to solve his brother's murder and expose an international conspiracy.",13.848,/18HVWwyLihWJPzGpSVl3omRRMyL.jpg,The other side of safe.,"Action, Thriller","Columbia Pictures, Roger Birnbaum Productions, Moshe Diamant Production",United States of America,English,"dying and death, bratva (russian mafia), mistake in person, twin brother"
289720,Outcast,5.078,434,Released,2014-09-26,5148503,98,False,/sETF4vyjb0FonUJVqgrkaPWqiIf.jpg,25000000,,tt1552224,en,Outcast,"A mysterious warrior teams up with the daughter and son of a deposed Chinese Emperor to defeat their cruel brother, who seeks their deaths.",25.405,/efsgCTlofzIuysfokEp7hwQnUho.jpg,To save their souls they must save a kingdom.,Action,"Media Max Productions, Notorious Films, 22h22","Canada, China, France, United States of America",English,"asia, emperor, crusade, knight, chinese emperor, warrior, 12th century, the crusades"
11447,The Son's Room,7.061,434,Released,2001-03-09,0,99,False,/mgJFiLulYzHxorIWNQyU5Wp4KHU.jpg,0,,tt0208990,it,La stanza del figlio,A psychoanalyst and his family go through profound emotional trauma when their son dies in a scuba diving accident.,11.549,/mUeDLodG63QSGBEGWDYZIsYjhok.jpg,,Drama,"Bac Films, Sacher Film, Telepiù, Canal+, RAI","France, Italy","Italian, Latin","stroke of fate, diving, therapist, marriage crisis, sadness, family's daily life, psychoanalysis, profession, jogging, calamity, harmony"
9414,The Man Who Knew Too Little,6.321,434,Released,1997-11-14,13801755,97,False,/fxcDcnITkYB0G5PHDzJOhGF9hFo.jpg,20000000,,tt0120483,en,The Man Who Knew Too Little,"An American gets a ticket for an audience participation game in London, then gets involved in a case of mistaken identity. As an international plot unravels around him, he thinks it's all part of the act.",10.573,/yVlIZa0u6CTN5LudxGX77Fk46iz.jpg,"He’s on a mission so secret, even he doesn’t know about it.","Comedy, Thriller, Crime, Action","Regency Enterprises, Polar Productions, Warner Bros. Pictures, Taurus Film",United States of America,English,"london, england, helicopter, sibling relationship, based on novel or book, escape, bomb, bank, mistaken identity, agent"
14728,The Librarian: The Curse of the Judas Chalice,6.2,434,Released,2008-10-25,0,95,False,/jmqkMxZMYdNuSh8AjhvrcM0OXtn.jpg,0,http://www.tnt.tv/movies/librarian/,tt1146438,en,The Librarian: The Curse of the Judas Chalice,"While on a dangerous mission to recover the historic Judas Chalice, Flynn is saved by Simone. But when double-crossed by a respected professor and ambushed by a ruthless gang, Flynn realizes Simone's secret, his true mission and a shocking discovery are all lying within a decaying New Orleans crypt.",16.673,/dNb7NiMtRdjTKeXVRrGcTQXgpEM.jpg,The world's most unlikely hero is back for his biggest adventure.,"Fantasy, Adventure, Comedy",Electric Entertainment,United States of America,English,"vampire, new orleans, louisiana, mythology, treasure hunt, judas, dracula"
